Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.55556,0.39062,0.99784,0.96154,42,-44078.332,308.02
2,0.50549,0.35385,0.99351,0.88462,46,-43918.145,314.533
3,0.48352,0.33846,0.99134,0.84615,48,-44634.625,313.488
4,0.49438,0.34375,0.99351,0.88,47,-44372.222,314.804
5,0.48889,0.34375,0.99134,0.84615,48,-44514.697,312.539
6,0.46809,0.33333,0.98701,0.78571,50,-44307.325,307.26
7,0.50549,0.35385,0.99351,0.88462,46,-44272.465,301.066
8,0.48913,0.34884,0.98918,0.81818,48.5,-44033.41,301.888
9,0.48387,0.34351,0.98918,0.81818,48.5,-44625.332,316.704
10,0.5,0.34351,0.99567,0.91837,45.5,-44555.402,311.918
Avg,0.49744,0.34935,0.99221,0.86435,46.95,-44331.195,310.222
Std,0.02215,0.015,0.00309,0.04954,2.115,243.199,5.171
