1,0.63415,0.65,0.97565,0.61905,36,-11238.034,393.435, 200       20   12   14   16  641         -1.000,
2,0.70732,0.70732,0.98174,0.70732,29,-11059.231,392.787, 200       24   10   12   12  645         -1.000,
3,0.70732,0.725,0.98021,0.69048,30,-10938.551,390.363, 200       23   12   11   13  644         -1.000,
4,0.675,0.65854,0.98174,0.69231,31,-11084.35,395.96, 200       22   10   14   12  645         -1.000,
5,0.5875,0.58025,0.97565,0.59494,38.5,-11141.626,400.522, 200       18   11   17   16  641         -1.000,
6,0.63855,0.63855,0.97717,0.63855,34.5,-10740.937,394.872, 200       22    9   15   15  642         -1.000,
7,0.63636,0.63636,0.97869,0.63636,35.5,-11125.665,395.04, 200       17   15   14   14  643         -1.000,
8,0.76623,0.7284,0.98935,0.80822,23.5,-10815.557,400.299, 200       24   11   11    7  650         -1.000,
9,0.62025,0.60494,0.97869,0.63636,35.5,-10972.744,396.043, 200       19   11   16   14  643         -1.000,
10,0.65823,0.63415,0.98174,0.68421,32,-11295.254,388.867, 200       21   10   15   12  645         -1.000,
Avg,0.66309,0.65635,0.98006,0.67078,32.55,-11041.195,394.819,200,        NaN
Std,0.04942,0.04711,0.00382,0.05753,4.15,167.03,3.56,0,        NaN
