网络名,数据集大小,F1均值(标准差)
Asia,500,0.8963(0.0578)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9310(0.0517)
INS,500,0.6205(0.0597)
INS,1000,0.6946(0.0531)
INS,3000,0.7601(0.0454)
Water,500,0.4082(0.0310)
Water,1000,0.4272(0.0214)
Water,3000,0.5191(0.0211)
Alarm,500,0.6360(0.0668)
Alarm,1000,0.6631(0.0494)
Alarm,3000,0.6843(0.0670)
Hailfinder,500,0.5269(0.0381)
Hailfinder,1000,0.5128(0.0537)
Hailfinder,3000,0.5914(0.0493)
HEPAR,500,0.4307(0.0240)
HEPAR,1000,0.5228(0.0179)
HEPAR,3000,0.6665(0.0288)
Win95pts,500,0.5090(0.0494)
Win95pts,1000,0.5228(0.0392)
Win95pts,3000,0.5563(0.0381)
AND,500,0.5614(0.0197)
AND,1000,0.5571(0.0160)
