1,0.46626,0.32759,0.99619,0.80851,94,-16557.566,459.963, 200       31   14   78    9 2353         -1.000,
2,0.41463,0.29565,0.99365,0.69388,104,-16543.829,460.911, 200       26   16   81   15 2347         -1.000,
3,0.42262,0.29958,0.99407,0.71717,101.5,-16653.06,453.486, 200       31    9   83   14 2348         -1.000,
4,0.38272,0.26271,0.9945,0.70455,105,-16709.495,424.743, 200       26   10   87   13 2349         -1.000,
5,0.41954,0.30544,0.99238,0.66972,104.5,-16434.759,470.275, 200       33    7   83   18 2344         -1.000,
6,0.45562,0.32766,0.9945,0.74757,97.5,-16674.869,461.63, 200       33   11   79   13 2349         -1.000,
7,0.41875,0.28755,0.99577,0.77011,99.5,-16477.345,421.138, 200       27   13   83   10 2352         -1.000,
8,0.42515,0.30213,0.99407,0.71717,101.5,-16648.995,377.482, 200       30   11   82   14 2348         -1.000,
9,0.45882,0.325,0.99534,0.78,95,-16256.574,431.308, 200       36    6   81   11 2351         -1.000,
10,0.44311,0.31092,0.99534,0.77083,97,-16450.369,439.665, 200       33    8   82   11 2351         -1.000,
Avg,0.43072,0.30442,0.99458,0.73795,99.95,-16540.686,440.06,200,        NaN
Std,0.02399,0.01917,0.00107,0.04187,3.771,132.387,26.41,0,        NaN
