网络名,数据集大小,SHD均值(标准差)
Asia,500,1.80(0.84)
Asia,1000,1.60(0.77)
Asia,3000,1.45(0.96)
INS,500,32.90(4.95)
INS,1000,27.85(4.86)
INS,3000,24.05(4.51)
Water,500,51.10(2.32)
Water,1000,50.10(1.84)
Water,3000,44.95(1.99)
Alarm,500,33.30(4.87)
Alarm,1000,32.55(4.15)
Alarm,3000,33.95(5.83)
Hailfinder,500,55.15(4.01)
Hailfinder,1000,59.05(6.09)
Hailfinder,3000,53.75(6.05)
HEPAR,500,99.95(3.77)
HEPAR,1000,87.85(3.31)
HEPAR,3000,67.50(5.20)
Win95pts,500,96.40(9.31)
Win95pts,1000,101.05(8.89)
Win95pts,3000,107.70(10.51)
AND,500,288.55(13.70)
AND,1000,309.15(10.27)
