网络名,数据集大小,F1均值(标准差)
Asia,500,20.0(0.2)
Asia,1000,21.9(0.1)
Asia,3000,31.6(0.6)
INS,500,148.6(6.9)
INS,1000,181.8(6.0)
INS,3000,268.4(7.9)
Water,500,136.5(1.4)
Water,1000,157.4(1.2)
Water,3000,229.5(2.5)
Alarm,500,360.2(6.0)
Alarm,1000,394.8(3.6)
Alarm,3000,483.9(3.0)
Hailfinder,500,470.2(12.2)
Hailfinder,1000,577.7(12.1)
Hailfinder,3000,1133.8(6.5)
HEPAR,500,440.1(26.4)
HEPAR,1000,574.7(19.0)
HEPAR,3000,1396.0(26.3)
Win95pts,500,1118.0(14.3)
Win95pts,1000,1246.4(12.5)
Win95pts,3000,2143.8(57.5)
AND,500,9246.4(312.3)
AND,1000,13220.8(470.6)
