1,0.39506,0.25806,0.99351,0.84211,53,-15718.222,155.894, 200       12    8   46    3  459         -1.000,
2,0.44578,0.29134,0.99784,0.94872,48.5,-15336.322,157.004, 200       16    5   45    1  461         -1.000,
3,0.45238,0.29688,0.99784,0.95,48,-15323.506,155.851, 200       17    4   45    1  461         -1.000,
4,0.45783,0.30159,0.99784,0.95,48,-15572.453,159.602, 200       16    6   44    1  461         -1.000,
5,0.42169,0.27559,0.99567,0.89744,50.5,-15444.259,159.077, 200       15    5   46    2  460         -1.000,
6,0.39024,0.25397,0.99351,0.84211,53,-15367.399,156.902, 200       13    6   47    3  459         -1.000,
7,0.4321,0.28,0.99784,0.94595,49.5,-15324.337,157.362, 200       14    7   45    1  461         -1.000,
8,0.4321,0.28,0.99784,0.94595,49.5,-15399.128,157.172, 200       14    7   45    1  461         -1.000,
9,0.41463,0.27419,0.99351,0.85,52,-15544.501,156.867, 200       13    8   45    3  459         -1.000,
10,0.43038,0.27419,1,1,49,-15369.485,158.274, 200       13    8   45    0  462         -1.000,
Avg,0.42722,0.27858,0.99654,0.91723,50.1,-15439.961,157.4,200,        NaN
Std,0.02136,0.01451,0.00221,0.05276,1.841,124.7,1.176,0,        NaN
