dataset,series,alpha,mean,std
AS-1000,adaptive,,0.9110,0.0592
AS-1000,fixed,0.01,0.9110,0.0593
AS-1000,fixed,0.02,0.9110,0.0592
AS-1000,fixed,0.03,0.9110,0.0592
AS-1000,fixed,0.05,0.9110,0.0592
AS-1000,fixed,0.10,0.9110,0.0592
AS-1000,fixed,0.20,0.9110,0.0592
AS-1000,fixed,0.30,0.9110,0.0592
AS-1000,fixed,0.50,0.9110,0.0592
AS-1000,fixed,1.00,0.9110,0.0592
IN-1000,adaptive,,0.6815,0.0617
IN-1000,fixed,0.01,0.6976,0.0166
IN-1000,fixed,0.02,0.6897,0.0272
IN-1000,fixed,0.03,0.6429,0.0410
IN-1000,fixed,0.05,0.6745,0.0368
IN-1000,fixed,0.10,0.6644,0.0257
IN-1000,fixed,0.20,0.6623,0.0627
IN-1000,fixed,0.30,0.6559,0.0406
IN-1000,fixed,0.50,0.6543,0.0528
IN-1000,fixed,1.00,0.6518,0.0321
WA-1000,adaptive,,0.4531,0.0186
WA-1000,fixed,0.01,0.4506,0.0131
WA-1000,fixed,0.02,0.4393,0.0170
WA-1000,fixed,0.03,0.4482,0.0231
WA-1000,fixed,0.05,0.4336,0.0193
WA-1000,fixed,0.10,0.4375,0.0164
WA-1000,fixed,0.20,0.4429,0.0222
WA-1000,fixed,0.30,0.4436,0.0287
WA-1000,fixed,0.50,0.4424,0.0261
WA-1000,fixed,1.00,0.4207,0.0355
AL-1000,adaptive,,0.8346,0.0304
AL-1000,fixed,0.01,0.8070,0.0428
AL-1000,fixed,0.02,0.7408,0.0578
AL-1000,fixed,0.03,0.7399,0.0714
AL-1000,fixed,0.05,0.8007,0.0366
AL-1000,fixed,0.10,0.7874,0.0417
AL-1000,fixed,0.20,0.8274,0.0452
AL-1000,fixed,0.30,0.8264,0.0380
AL-1000,fixed,0.50,0.7946,0.0568
AL-1000,fixed,1.00,0.7537,0.0475
HA-1000,adaptive,,0.6269,0.0484
HA-1000,fixed,0.01,0.6164,0.0523
HA-1000,fixed,0.02,0.5805,0.0523
HA-1000,fixed,0.03,0.5884,0.0466
HA-1000,fixed,0.05,0.6122,0.0371
HA-1000,fixed,0.10,0.6320,0.0595
HA-1000,fixed,0.20,0.6019,0.0473
HA-1000,fixed,0.30,0.6098,0.0489
HA-1000,fixed,0.50,0.5882,0.0537
HA-1000,fixed,1.00,0.5978,0.0378
HE-1000,adaptive,,0.5432,0.0177
HE-1000,fixed,0.01,0.5331,0.0274
HE-1000,fixed,0.02,0.5133,0.0191
HE-1000,fixed,0.03,0.5066,0.0185
HE-1000,fixed,0.05,0.5133,0.0222
HE-1000,fixed,0.10,0.5121,0.0319
HE-1000,fixed,0.20,0.4984,0.0303
HE-1000,fixed,0.30,0.5072,0.0269
HE-1000,fixed,0.50,0.4988,0.0257
HE-1000,fixed,1.00,0.4963,0.0322
WI-1000,adaptive,,0.6566,0.0399
WI-1000,fixed,0.01,0.6199,0.0303
WI-1000,fixed,0.02,0.6196,0.0398
WI-1000,fixed,0.03,0.5797,0.0599
WI-1000,fixed,0.05,0.6137,0.0338
WI-1000,fixed,0.10,0.6313,0.0411
WI-1000,fixed,0.20,0.6127,0.0414
WI-1000,fixed,0.30,0.6311,0.0263
WI-1000,fixed,0.50,0.6354,0.0260
WI-1000,fixed,1.00,0.6547,0.0233
AN-1000,adaptive,,0.6620,0.0142
AN-1000,fixed,0.01,0.6505,0.0139
AN-1000,fixed,0.02,0.5773,0.0154
AN-1000,fixed,0.03,0.5563,0.0179
AN-1000,fixed,0.05,0.6072,0.0141
AN-1000,fixed,0.10,0.5931,0.0227
AN-1000,fixed,0.20,0.5970,0.0143
AN-1000,fixed,0.30,0.5800,0.0103
AN-1000,fixed,0.50,0.5802,0.0137
AN-1000,fixed,1.00,0.5762,0.0148
