dataset,series,alpha,mean,std
AS-1000,adaptive,,0.9110,0.0592
AS-1000,fixed,0.01,0.9110,0.0592
AS-1000,fixed,0.02,0.9110,0.0592
AS-1000,fixed,0.03,0.9110,0.0592
AS-1000,fixed,0.05,0.9091,0.0619
AS-1000,fixed,0.10,0.9100,0.0589
AS-1000,fixed,0.20,0.9105,0.0591
AS-1000,fixed,0.30,0.9105,0.0591
AS-1000,fixed,0.50,0.9243,0.0213
AS-1000,fixed,1.00,0.8874,0.0667
IN-1000,adaptive,,0.6991,0.0558
IN-1000,fixed,0.01,0.6729,0.0186
IN-1000,fixed,0.02,0.6944,0.0473
IN-1000,fixed,0.03,0.6911,0.0433
IN-1000,fixed,0.05,0.6786,0.0513
IN-1000,fixed,0.10,0.6713,0.0386
IN-1000,fixed,0.20,0.6588,0.0487
IN-1000,fixed,0.30,0.6502,0.0487
IN-1000,fixed,0.50,0.5958,0.0454
IN-1000,fixed,1.00,0.5731,0.0408
WA-1000,adaptive,,0.4302,0.0357
WA-1000,fixed,0.01,0.4407,0.0222
WA-1000,fixed,0.02,0.4307,0.0212
WA-1000,fixed,0.03,0.4227,0.0231
WA-1000,fixed,0.05,0.4288,0.0152
WA-1000,fixed,0.10,0.4353,0.0290
WA-1000,fixed,0.20,0.4242,0.0370
WA-1000,fixed,0.30,0.4309,0.0239
WA-1000,fixed,0.50,0.4105,0.0246
WA-1000,fixed,1.00,0.3621,0.0493
AL-1000,adaptive,,0.6691,0.0391
AL-1000,fixed,0.01,0.6673,0.0632
AL-1000,fixed,0.02,0.6311,0.0796
AL-1000,fixed,0.03,0.6247,0.0554
AL-1000,fixed,0.05,0.6090,0.0430
AL-1000,fixed,0.10,0.5868,0.0744
AL-1000,fixed,0.20,0.5770,0.0437
AL-1000,fixed,0.30,0.5222,0.0712
AL-1000,fixed,0.50,0.4505,0.0440
AL-1000,fixed,1.00,0.3910,0.0608
HA-1000,adaptive,,0.5837,0.0434
HA-1000,fixed,0.01,0.5686,0.0380
HA-1000,fixed,0.02,0.5667,0.0479
HA-1000,fixed,0.03,0.5033,0.0297
HA-1000,fixed,0.05,0.5031,0.0329
HA-1000,fixed,0.10,0.4072,0.0373
HA-1000,fixed,0.20,0.3302,0.0444
HA-1000,fixed,0.30,0.2621,0.0388
HA-1000,fixed,0.50,0.1746,0.0254
HA-1000,fixed,1.00,0.0739,0.0210
HE-1000,adaptive,,0.5285,0.0206
HE-1000,fixed,0.01,0.5275,0.0247
HE-1000,fixed,0.02,0.5242,0.0272
HE-1000,fixed,0.03,0.5069,0.0299
HE-1000,fixed,0.05,0.4604,0.0321
HE-1000,fixed,0.10,0.4064,0.0239
HE-1000,fixed,0.20,0.2631,0.0148
HE-1000,fixed,0.30,0.2195,0.0219
HE-1000,fixed,0.50,0.1473,0.0299
HE-1000,fixed,1.00,0.0763,0.0184
WI-1000,adaptive,,0.5359,0.0291
WI-1000,fixed,0.01,0.5198,0.0282
WI-1000,fixed,0.02,0.5085,0.0415
WI-1000,fixed,0.03,0.4934,0.0455
WI-1000,fixed,0.05,0.4658,0.0349
WI-1000,fixed,0.10,0.4034,0.0300
WI-1000,fixed,0.20,0.3305,0.0455
WI-1000,fixed,0.30,0.2890,0.0287
WI-1000,fixed,0.50,0.2255,0.0245
WI-1000,fixed,1.00,0.1443,0.0257
AN-1000,adaptive,,0.6513,0.0146
AN-1000,fixed,0.01,0.5528,0.0191
AN-1000,fixed,0.02,0.4895,0.0197
AN-1000,fixed,0.03,0.4327,0.0232
AN-1000,fixed,0.05,0.3462,0.0123
AN-1000,fixed,0.10,0.2441,0.2441
AN-1000,fixed,0.20,0.1375,
AN-1000,fixed,0.30,0.0929,0.0929
AN-1000,fixed,0.50,0.0516,
AN-1000,fixed,1.00,0.0200,
