metric,dataset,sample_size,SR-Fix,SR-PCR,SM-Fix,SM-PCR,DR-PCR,CS-CGA
F1,Asia,500,90.39,90.44,90.22,90.39,90.18,90.22
F1,Asia,1000,91.10,91.10,91.10,91.10,91.05,91.10
F1,Asia,3000,93.14,95.14,95.09,95.09,93.19,95.14
F1,Insurance,500,69.24,67.86,62.86,69.21,51.91,70.71
F1,Insurance,1000,75.36,74.72,68.19,77.23,57.40,75.93
F1,Insurance,3000,83.26,85.81,77.71,86.40,63.58,87.33
F1,Water,500,44.58,44.85,42.34,44.83,41.01,44.42
F1,Water,1000,45.63,46.60,44.78,46.11,44.75,45.89
F1,Water,3000,53.72,53.02,52.58,54.00,47.19,53.64
F1,Alarm,500,79.11,79.12,78.12,80.91,73.85,83.43
F1,Alarm,1000,85.03,86.56,81.30,84.80,75.83,87.43
F1,Alarm,3000,88.45,89.99,86.77,90.92,77.41,91.51
F1,Hailfinder,500,59.81,60.18,58.67,59.61,55.69,60.40
F1,Hailfinder,1000,66.68,64.44,62.34,65.17,60.53,69.23
F1,Hailfinder,3000,70.50,67.47,65.44,70.69,60.43,73.30
F1,HeparII,500,44.45,45.26,44.22,45.94,40.83,47.10
F1,HeparII,1000,55.48,53.95,53.28,55.05,48.65,56.03
F1,HeparII,3000,67.73,67.41,67.82,67.85,59.84,70.33
F1,Win95pts,500,60.91,57.26,57.37,60.17,53.13,62.00
F1,Win95pts,1000,67.68,67.63,65.31,65.03,55.73,68.71
F1,Win95pts,3000,72.25,65.64,68.00,66.92,55.95,72.33
F1,AND,500,54.87,54.04,55.86,55.51,50.91,69.51
F1,AND,1000,57.55,58.88,60.65,58.96,53.66,71.31
F1,AND,3000,60.25,62.49,66.38,63.09,59.89,75.44
SHD,Asia,500,1.70,1.80,1.75,1.70,1.80,1.75
SHD,Asia,1000,1.60,1.60,1.60,1.60,1.65,1.60
SHD,Asia,3000,1.45,1.40,1.15,1.15,1.40,1.10
SHD,Insurance,500,26.50,30.20,32.30,26.45,35.95,25.30
SHD,Insurance,1000,22.30,24.10,29.55,20.85,33.10,22.10
SHD,Insurance,3000,17.30,20.00,23.60,13.95,30.20,12.55
SHD,Water,500,48.05,48.35,49.70,47.85,49.70,48.25
SHD,Water,1000,47.70,47.40,48.30,47.35,47.70,47.45
SHD,Water,3000,43.00,44.15,44.20,42.75,46.75,43.20
SHD,Alarm,500,19.70,20.35,22.35,18.20,22.20,16.85
SHD,Alarm,1000,15.90,19.50,22.05,15.45,21.60,13.35
SHD,Alarm,3000,13.50,16.20,18.15,10.70,21.90,10.10
SHD,Hailfinder,500,46.35,48.15,48.90,46.50,47.95,45.90
SHD,Hailfinder,1000,40.40,44.30,45.55,42.00,44.30,36.90
SHD,Hailfinder,3000,36.65,43.15,43.60,36.75,46.80,33.05
SHD,HeparII,500,95.40,97.90,100.95,93.65,97.10,90.50
SHD,HeparII,1000,81.20,85.50,86.85,80.50,87.95,80.10
SHD,HeparII,3000,63.50,70.45,65.60,63.45,74.20,58.45
SHD,Win95pts,500,77.50,84.35,86.05,79.60,87.10,74.35
SHD,Win95pts,1000,66.90,78.80,74.05,73.70,87.85,64.25
SHD,Win95pts,3000,61.85,79.45,73.80,75.45,96.20,60.60
SHD,AND,500,275.15,303.25,287.60,284.15,303.85,178.15
SHD,AND,1000,265.85,291.35,266.60,274.85,316.25,181.70
SHD,AND,3000,259.05,299.85,239.30,265.25,281.80,167.65
