dataset,strategy,mean,std
AS-500,No-Cache,80.22,6.84
AS-500,BNT-Cache,18.66,0.19
AS-500,GB-Cache,5.10,0.20
AS-500,HSM,5.50,0.49
AS-1000,No-Cache,99.91,0.95
AS-1000,BNT-Cache,20.92,0.23
AS-1000,GB-Cache,6.15,0.66
AS-1000,HSM,6.40,0.30
AS-3000,No-Cache,137.09,1.36
AS-3000,BNT-Cache,28.98,0.90
AS-3000,GB-Cache,8.54,0.68
AS-3000,HSM,7.20,0.25
IN-500,No-Cache,377.91,0.84
IN-500,BNT-Cache,110.72,2.67
IN-500,GB-Cache,54.94,2.77
IN-500,HSM,41.80,1.56
IN-1000,No-Cache,448.86,2.74
IN-1000,BNT-Cache,127.11,1.26
IN-1000,GB-Cache,58.21,5.38
IN-1000,HSM,46.10,2.16
IN-3000,No-Cache,616.73,10.76
IN-3000,BNT-Cache,178.84,1.79
IN-3000,GB-Cache,99.71,5.08
IN-3000,HSM,53.70,1.32
WA-500,No-Cache,455.63,2.43
WA-500,BNT-Cache,115.92,0.80
WA-500,GB-Cache,41.42,1.58
WA-500,HSM,32.30,0.69
WA-1000,No-Cache,526.04,1.59
WA-1000,BNT-Cache,134.96,0.92
WA-1000,GB-Cache,49.22,1.93
WA-1000,HSM,34.20,0.82
WA-3000,No-Cache,718.82,1.35
WA-3000,BNT-Cache,192.58,1.14
WA-3000,GB-Cache,90.55,1.73
WA-3000,HSM,39.20,1.02
AL-500,No-Cache,675.35,5.22
AL-500,BNT-Cache,263.36,19.68
AL-500,GB-Cache,105.24,5.25
AL-500,HSM,62.80,3.56
AL-1000,No-Cache,761.29,4.16
AL-1000,BNT-Cache,261.70,37.58
AL-1000,GB-Cache,126.05,4.51
AL-1000,HSM,66.70,2.50
AL-3000,No-Cache,1057.54,8.64
AL-3000,BNT-Cache,304.58,3.04
AL-3000,GB-Cache,181.62,6.21
AL-3000,HSM,68.30,1.81
HA-500,No-Cache,1264.70,10.98
HA-500,BNT-Cache,319.63,6.42
HA-500,GB-Cache,218.25,7.54
HA-500,HSM,58.90,1.09
HA-1000,No-Cache,1431.51,15.98
HA-1000,BNT-Cache,361.31,2.29
HA-1000,GB-Cache,251.44,5.70
HA-1000,HSM,61.30,1.47
HA-3000,No-Cache,2738.10,15.11
HA-3000,BNT-Cache,901.37,3.80
HA-3000,GB-Cache,621.27,9.79
HA-3000,HSM,68.70,2.52
HE-500,No-Cache,1790.84,23.12
HE-500,BNT-Cache,369.29,8.74
HE-500,GB-Cache,322.59,4.20
HE-500,HSM,56.60,2.64
HE-1000,No-Cache,1997.01,14.90
HE-1000,BNT-Cache,541.94,83.38
HE-1000,GB-Cache,362.36,6.63
HE-1000,HSM,61.60,1.96
HE-3000,No-Cache,3870.70,34.69
HE-3000,BNT-Cache,1978.23,28.60
HE-3000,GB-Cache,896.21,13.91
HE-3000,HSM,72.90,1.95
WI-500,No-Cache,3939.56,68.61
WI-500,BNT-Cache,939.56,28.83
WI-500,GB-Cache,622.96,28.95
WI-500,HSM,90.10,3.71
WI-1000,No-Cache,4514.37,344.27
WI-1000,BNT-Cache,1014.37,30.58
WI-1000,GB-Cache,686.67,19.65
WI-1000,HSM,97.80,6.51
WI-3000,No-Cache,9308.36,1414.88
WI-3000,BNT-Cache,1608.44,18.59
WI-3000,GB-Cache,1108.00,33.98
WI-3000,HSM,108.40,21.24
AN-500,No-Cache,23763.38,375.76
AN-500,BNT-Cache,9991.71,593.15
AN-500,GB-Cache,4529.14,623.47
AN-500,HSM,311.60,5.47
AN-1000,No-Cache,29979.93,788.35
AN-1000,BNT-Cache,13395.36,1394.01
AN-1000,GB-Cache,5519.29,98.99
AN-1000,HSM,373.90,7.50
AN-3000,No-Cache,40160.49,82.38
AN-3000,BNT-Cache,16267.72,637.09
AN-3000,GB-Cache,9617.51,173.76
AN-3000,HSM,491.90,6.64
